ID,Image,Price,Brand,Link
130,wildberries_dress130.jpg,26 390 тг.,Mango /Платье - KILEY,https://www.wildberries.kz/catalog/7311020/detail.aspx?targetUrl=GP
131,wildberries_dress131.jpg,15 320 тг.,Vittoria Vicci /Платье,https://www.wildberries.kz/catalog/7373870/detail.aspx?targetUrl=GP
132,wildberries_dress132.jpg,13 540 тг.,S.OLIVER /Платье,https://www.wildberries.kz/catalog/5879371/detail.aspx?targetUrl=GP
133,wildberries_dress133.jpg,14 680 тг.,LOVE REPUBLIC /Платье,https://www.wildberries.kz/catalog/7631941/detail.aspx?targetUrl=GP
134,wildberries_dress134.jpg,17 670 тг.,Jan Steen /Платье,https://www.wildberries.kz/catalog/5775231/detail.aspx?targetUrl=GP
135,wildberries_dress135.jpg,31 540 тг.,Lussotico /Платье,https://www.wildberries.kz/catalog/6578195/detail.aspx?targetUrl=GP
136,wildberries_dress136.jpg,5 990 тг.,oodji /Платье,https://www.wildberries.kz/catalog/6313839/detail.aspx?targetUrl=GP
137,wildberries_dress137.jpg,38 540 тг.,Eva Davidova /Платье,https://www.wildberries.kz/catalog/5922926/detail.aspx?targetUrl=GP
138,wildberries_dress138.jpg,32 080 тг.,Isabel Garcia /Платье,https://www.wildberries.kz/catalog/4528248/detail.aspx?targetUrl=GP
139,wildberries_dress139.jpg,21 010 тг.,po Pogode /Платье,https://www.wildberries.kz/catalog/6996000/detail.aspx?targetUrl=GP
140,wildberries_dress140.jpg,114 950 тг.,Galina Vasilyeva /Платье,https://www.wildberries.kz/catalog/6912184/detail.aspx?targetUrl=GP
141,wildberries_dress141.jpg,6 370 тг.,ZARINA /Платье,https://www.wildberries.kz/catalog/5371381/detail.aspx?targetUrl=GP
142,wildberries_dress142.jpg,7 110 тг.,Мама Мила /Платье,https://www.wildberries.kz/catalog/6035596/detail.aspx?targetUrl=GP
143,wildberries_dress143.jpg,6 570 тг.,"Апрель /Платье ""Бенефис""",https://www.wildberries.kz/catalog/7379672/detail.aspx?targetUrl=GP
144,wildberries_dress144.jpg,43 750 тг.,Charmante /Платье,https://www.wildberries.kz/catalog/7515816/detail.aspx?targetUrl=GP
145,wildberries_dress145.jpg,15 700 тг.,po Pogode /Платье,https://www.wildberries.kz/catalog/5368603/detail.aspx?targetUrl=GP
146,wildberries_dress146.jpg,21 990 тг.,Violeta by Mango /Платье - CROSSDI,https://www.wildberries.kz/catalog/6971083/detail.aspx?targetUrl=GP
147,wildberries_dress147.jpg,11 910 тг.,Sasha Rozhdestvenskaya /Платье,https://www.wildberries.kz/catalog/7051198/detail.aspx?targetUrl=GP
148,wildberries_dress148.jpg,3 190 тг.,oodji /Платье,https://www.wildberries.kz/catalog/4352568/detail.aspx?targetUrl=GP
149,wildberries_dress149.jpg,13 990 тг.,Infinity Lingerie /Платье,https://www.wildberries.kz/catalog/7487568/detail.aspx?targetUrl=GP
150,wildberries_dress150.jpg,31 670 тг.,Mango /Платье - VEGAS-A,https://www.wildberries.kz/catalog/6970454/detail.aspx?targetUrl=GP
151,wildberries_dress151.jpg,35 870 тг.,S.OLIVER /Платье,https://www.wildberries.kz/catalog/5483250/detail.aspx?targetUrl=GP
152,wildberries_dress152.jpg,23 540 тг.,NadiN /Платье,https://www.wildberries.kz/catalog/6679378/detail.aspx?targetUrl=GP
153,wildberries_dress153.jpg,13 540 тг.,S.OLIVER /Платье,https://www.wildberries.kz/catalog/5879372/detail.aspx?targetUrl=GP
154,wildberries_dress154.jpg,11 290 тг.,ZARINA /Платье,https://www.wildberries.kz/catalog/6995191/detail.aspx?targetUrl=GP
155,wildberries_dress155.jpg,48 970 тг.,Caractere /Платье,https://www.wildberries.kz/catalog/4870029/detail.aspx?targetUrl=GP
156,wildberries_dress156.jpg,16 900 тг.,Proud Mom /Платье,https://www.wildberries.kz/catalog/7117716/detail.aspx?targetUrl=GP
157,wildberries_dress157.jpg,8 630 тг.,O'Stin /Платье,https://www.wildberries.kz/catalog/7536780/detail.aspx?targetUrl=GP
158,wildberries_dress158.jpg,15 830 тг.,Mango /Платье - CANALETA,https://www.wildberries.kz/catalog/7161929/detail.aspx?targetUrl=GP
159,wildberries_dress159.jpg,14 020 тг.,LOVE REPUBLIC /Платье,https://www.wildberries.kz/catalog/6996829/detail.aspx?targetUrl=GP
160,wildberries_dress160.jpg,20 880 тг.,KalinaLook /Платье,https://www.wildberries.kz/catalog/6403291/detail.aspx?targetUrl=GP
161,wildberries_dress161.jpg,9 030 тг.,Befree /Платье,https://www.wildberries.kz/catalog/7255189/detail.aspx?targetUrl=GP
162,wildberries_dress162.jpg,1 790 тг.,oodji /Платье,https://www.wildberries.kz/catalog/4791764/detail.aspx?targetUrl=GP
163,wildberries_dress163.jpg,18 730 тг.,1001 DRESS /Платье,https://www.wildberries.kz/catalog/7139637/detail.aspx?targetUrl=GP
164,wildberries_dress164.jpg,23 980 тг.,Self Made /Платье,https://www.wildberries.kz/catalog/6214218/detail.aspx?targetUrl=GP
165,wildberries_dress165.jpg,17 470 тг.,MALKOVICH /Платье,https://www.wildberries.kz/catalog/4534624/detail.aspx?targetUrl=GP
166,wildberries_dress166.jpg,18 780 тг.,Cavo /Платье,https://www.wildberries.kz/catalog/6357535/detail.aspx?targetUrl=GP
167,wildberries_dress167.jpg,34 750 тг.,HELMIDGE /Платье,https://www.wildberries.kz/catalog/7483005/detail.aspx?targetUrl=GP
168,wildberries_dress168.jpg,11 290 тг.,ZARINA /Платье,https://www.wildberries.kz/catalog/6995190/detail.aspx?targetUrl=GP
169,wildberries_dress169.jpg,26 390 тг.,Mango /Платье - ELF2,https://www.wildberries.kz/catalog/6775930/detail.aspx?targetUrl=GP
170,wildberries_dress170.jpg,17 360 тг.,VERA NOVA /Платье,https://www.wildberries.kz/catalog/4154853/detail.aspx?targetUrl=GP
171,wildberries_dress171.jpg,8 630 тг.,O'Stin /Платье,https://www.wildberries.kz/catalog/7536781/detail.aspx?targetUrl=GP
172,wildberries_dress172.jpg,6 100 тг.,Мама Мила /Платье,https://www.wildberries.kz/catalog/6035599/detail.aspx?targetUrl=GP
173,wildberries_dress173.jpg,31 220 тг.,DamKapriz /Платье,https://www.wildberries.kz/catalog/4872873/detail.aspx?targetUrl=GP
174,wildberries_dress174.jpg,2 010 тг.,ТВОЕ /Платье,https://www.wildberries.kz/catalog/6462144/detail.aspx?targetUrl=GP
175,wildberries_dress175.jpg,13 880 тг.,Knitman /Платье,https://www.wildberries.kz/catalog/7272403/detail.aspx?targetUrl=GP
176,wildberries_dress176.jpg,9 030 тг.,ZARINA /Платье,https://www.wildberries.kz/catalog/7195221/detail.aspx?targetUrl=GP
177,wildberries_dress177.jpg,12 100 тг.,C.H.I.C. /Платье,https://www.wildberries.kz/catalog/4760246/detail.aspx?targetUrl=GP
178,wildberries_dress178.jpg,34 800 тг.,"MARRUSHKA /Платье ""Стиль Гипюр""",https://www.wildberries.kz/catalog/6882265/detail.aspx?targetUrl=GP
179,wildberries_dress179.jpg,9 990 тг.,oodji /Платье,https://www.wildberries.kz/catalog/5085372/detail.aspx?targetUrl=GP
180,wildberries_dress180.jpg,21 990 тг.,Mango /Платье - MARGARIT,https://www.wildberries.kz/catalog/7414731/detail.aspx?targetUrl=GP
181,wildberries_dress181.jpg,47 250 тг.,Pattern. /Платье-рубашка с поясом,https://www.wildberries.kz/catalog/6990480/detail.aspx?targetUrl=GP
182,wildberries_dress182.jpg,24 800 тг.,МадаМ Т /Платье,https://www.wildberries.kz/catalog/5933506/detail.aspx?targetUrl=GP
183,wildberries_dress183.jpg,12 820 тг.,Bezko /Платье,https://www.wildberries.kz/catalog/6677856/detail.aspx?targetUrl=GP
184,wildberries_dress184.jpg,9 910 тг.,Sasha Rozhdestvenskaya /Платье,https://www.wildberries.kz/catalog/6426550/detail.aspx?targetUrl=GP
185,wildberries_dress185.jpg,22 590 тг.,LOVE REPUBLIC /Платье,https://www.wildberries.kz/catalog/7040614/detail.aspx?targetUrl=GP
186,wildberries_dress186.jpg,22 320 тг.,PATRICIA CHARME /Платье,https://www.wildberries.kz/catalog/6845967/detail.aspx?targetUrl=GP
187,wildberries_dress187.jpg,23 740 тг.,S.OLIVER /Платье,https://www.wildberries.kz/catalog/5629717/detail.aspx?targetUrl=GP
188,wildberries_dress188.jpg,2 500 тг.,ТВОЕ /Платье,https://www.wildberries.kz/catalog/7159743/detail.aspx?targetUrl=GP
189,wildberries_dress189.jpg,15 080 тг.,Abby /Платье,https://www.wildberries.kz/catalog/7614566/detail.aspx?targetUrl=GP
190,wildberries_dress190.jpg,23 360 тг.,LINO RUSSO /Платье Лукреция-2,https://www.wildberries.kz/catalog/7366592/detail.aspx?targetUrl=GP
191,wildberries_dress191.jpg,34 340 тг.,ZERKALA /Платья,https://www.wildberries.kz/catalog/5519313/detail.aspx?targetUrl=GP
192,wildberries_dress192.jpg,20 530 тг.,po Pogode /Платье,https://www.wildberries.kz/catalog/7563250/detail.aspx?targetUrl=GP
193,wildberries_dress193.jpg,14 400 тг.,ZARINA /Платье,https://www.wildberries.kz/catalog/6716885/detail.aspx?targetUrl=GP
194,wildberries_dress194.jpg,7 670 тг.,O'Stin /Платье,https://www.wildberries.kz/catalog/7536417/detail.aspx?targetUrl=GP
195,wildberries_dress195.jpg,23 550 тг.,Rodionov /Женское платье-футляр с воланами,https://www.wildberries.kz/catalog/6698633/detail.aspx?targetUrl=GP
